Id,Designation,Size,CategoryType,SubCategory,Material,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,?a min,?a max,Tan ?,?a,d/t,Wt,c/t
,508x14.2 CHS,,O,UK,Steel,-,173,508,508,14.2,14.2,,,,,,,,1.6,9.25,67200,67200,17.5,17.5,2650,2650,3460,3460,,,,134000,220,,,,,,,,,,,,,,35.8,5290,
,508x16 CHS,,O,UK,Steel,-,194,508,508,16,16,,,,,,,,1.6,8.24,74900,74900,17.4,17.4,2950,2950,3870,3870,,,,150000,247,,,,,,,,,,,,,,31.8,5900,
,40x40x3 SHS,,R,UK,Steel,-,3.41,40,40,3,3,,,,,,,,0.152,44.5,9.78,9.78,1.5,1.5,4.89,4.89,5.97,5.97,,,,15.7,4.34,,,,,,,,,,,,,,,7.1,10.3
,40x40x3.2 SHS,,R,UK,Steel,-,3.61,40,40,3.2,3.2,,,,,,,,0.152,42.1,10.2,10.2,1.49,1.49,5.11,5.11,6.28,6.28,,,,16.5,4.6,,,,,,,,,,,,,,,7.42,9.5
,40x40x3.6 SHS,,R,UK,Steel,-,4.01,40,40,3.6,3.6,,,,,,,,0.151,37.8,11.1,11.1,1.47,1.47,5.54,5.54,6.88,6.88,,,,18.1,5.1,,,,,,,,,,,,,,,8.01,8.11
,40x40x4 SHS,,R,UK,Steel,-,4.39,40,40,4,4,,,,,,,,0.15,34.2,11.8,11.8,1.45,1.45,5.91,5.91,7.44,7.44,,,,19.5,5.59,,,,,,,,,,,,,,,8.54,7
,40x40x5 SHS,,R,UK,Steel,-,5.28,40,40,5,5,,,,,,,,0.147,27.8,13.4,13.4,1.41,1.41,6.68,6.68,8.66,8.66,,,,22.5,6.73,,,,,,,,,,,,,,,9.6,5
,50x50x3 SHS,,R,UK,Steel,-,4.35,50,50,3,3,,,,,,,,0.192,44.2,20.2,20.2,1.91,1.91,8.08,8.08,9.7,9.7,,,,32.1,5.54,,,,,,,,,,,,,,,11.8,13.7
,50x50x3.2 SHS,,R,UK,Steel,-,4.62,50,50,3.2,3.2,,,,,,,,0.192,41.7,21.2,21.2,1.9,1.9,8.49,8.49,10.2,10.2,,,,33.8,5.88,,,,,,,,,,,,,,,12.4,12.6
,50x50x3.6 SHS,,R,UK,Steel,-,5.14,50,50,3.6,3.6,,,,,,,,0.191,37.2,23.2,23.2,1.88,1.88,9.27,9.27,11.3,11.3,,,,37.2,6.54,,,,,,,,,,,,,,,13.5,10.9
,50x50x4 SHS,,R,UK,Steel,-,5.64,50,50,4,4,,,,,,,,0.19,33.6,25,25,1.86,1.86,9.99,9.99,12.3,12.3,,,,40.4,7.19,,,,,,,,,,,,,,,14.5,9.5
,50x50x5 SHS,,R,UK,Steel,-,6.85,50,50,5,5,,,,,,,,0.187,27.3,28.9,28.9,1.82,1.82,11.6,11.6,14.5,14.5,,,,47.6,8.73,,,,,,,,,,,,,,,16.7,7
,50x50x6.3 SHS,,R,UK,Steel,-,8.31,50,50,6.3,6.3,,,,,,,,0.184,22.1,32.8,32.8,1.76,1.76,13.1,13.1,17,17,,,,55.2,10.6,,,,,,,,,,,,,,,18.8,4.94
,50x50x7.1 SHS,,R,UK,Steel,-,9.14,50,50,7.1,7.1,,,,,,,,0.182,19.8,34.5,34.5,1.72,1.72,13.8,13.8,18.3,18.3,,,,58.9,11.6,,,,,,,,,,,,,,,19.8,4.04
,50x50x8 SHS,,R,UK,Steel,-,10,50,50,8,8,,,,,,,,0.179,17.9,36,36,1.68,1.68,14.4,14.4,19.5,19.5,,,,62.3,12.8,,,,,,,,,,,,,,,20.6,3.25
,60x60x3 SHS,,R,UK,Steel,-,5.29,60,60,3,3,,,,,,,,0.232,43.8,36.2,36.2,2.32,2.32,12.1,12.1,14.3,14.3,,,,56.9,6.74,,,,,,,,,,,,,,,17.7,17
,60x60x3.2 SHS,,R,UK,Steel,-,5.62,60,60,3.2,3.2,,,,,,,,0.232,41.3,38.2,38.2,2.31,2.31,12.7,12.7,15.2,15.2,,,,60.2,7.16,,,,,,,,,,,,,,,18.6,15.7
,60x60x3.6 SHS,,R,UK,Steel,-,6.27,60,60,3.6,3.6,,,,,,,,0.231,37,41.9,41.9,2.29,2.29,14,14,16.8,16.8,,,,66.5,7.98,,,,,,,,,,,,,,,20.4,13.7
,60x60x4 SHS,,R,UK,Steel,-,6.9,60,60,4,4,,,,,,,,0.23,33.4,45.4,45.4,2.27,2.27,15.1,15.1,18.3,18.3,,,,72.5,8.79,,,,,,,,,,,,,,,22,12
,60x60x5 SHS,,R,UK,Steel,-,8.42,60,60,5,5,,,,,,,,0.227,27,53.3,53.3,2.23,2.23,17.8,17.8,21.9,21.9,,,,86.4,10.7,,,,,,,,,,,,,,,25.7,9
,60x60x6.3 SHS,,R,UK,Steel,-,10.3,60,60,6.3,6.3,,,,,,,,0.224,21.8,61.6,61.6,2.17,2.17,20.5,20.5,26,26,,,,102,13.1,,,,,,,,,,,,,,,29.6,6.52
,60x60x7.1 SHS,,R,UK,Steel,-,11.4,60,60,7.1,7.1,,,,,,,,0.222,19.5,65.8,65.8,2.13,2.13,21.9,21.9,28.2,28.2,,,,110,14.5,,,,,,,,,,,,,,,31.6,5.45
,60x60x8 SHS,,R,UK,Steel,-,12.5,60,60,8,8,,,,,,,,0.219,17.5,69.7,69.7,2.09,2.09,23.2,23.2,30.4,30.4,,,,118,16,,,,,,,,,,,,,,,33.4,4.5
,70x70x3 SHS,,R,UK,Steel,-,6.24,70,70,3,3,,,,,,,,0.272,43.5,59,59,2.73,2.73,16.9,16.9,19.9,19.9,,,,92.2,7.94,,,,,,,,,,,,,,,24.8,20.3
,70x70x3.2 SHS,,R,UK,Steel,-,6.63,70,70,3.2,3.2,,,,,,,,0.272,41.1,62.3,62.3,2.72,2.72,17.8,17.8,21,21,,,,97.6,8.44,,,,,,,,,,,,,,,26.1,18.9
,70x70x3.6 SHS,,R,UK,Steel,-,7.4,70,70,3.6,3.6,,,,,,,,0.271,36.6,68.6,68.6,2.7,2.7,19.6,19.6,23.3,23.3,,,,108,9.42,,,,,,,,,,,,,,,28.7,16.4
,70x70x4 SHS,,R,UK,Steel,-,8.15,70,70,4,4,,,,,,,,0.27,33.2,74.7,74.7,2.68,2.68,21.3,21.3,25.5,25.5,,,,118,10.4,,,,,,,,,,,,,,,31.2,14.5
,70x70x5 SHS,,R,UK,Steel,-,9.99,70,70,5,5,,,,,,,,0.267,26.7,88.5,88.5,2.64,2.64,25.3,25.3,30.8,30.8,,,,142,12.7,,,,,,,,,,,,,,,36.8,11
,70x70x6.3 SHS,,R,UK,Steel,-,12.3,70,70,6.3,6.3,,,,,,,,0.264,21.5,104,104,2.58,2.58,29.7,29.7,36.9,36.9,,,,169,15.6,,,,,,,,,,,,,,,42.9,8.11
,70x70x7.1 SHS,,R,UK,Steel,-,13.6,70,70,7.1,7.1,,,,,,,,0.262,19.3,112,112,2.54,2.54,32,32,40.3,40.3,,,,185,17.3,,,,,,,,,,,,,,,46.1,6.86
,70x70x8 SHS,,R,UK,Steel,-,15,70,70,8,8,,,,,,,,0.259,17.2,120,120,2.5,2.5,34.2,34.2,43.8,43.8,,,,200,19.2,,,,,,,,,,,,,,,49.2,5.75
,70x70x8.8 SHS,,R,UK,Steel,-,16.3,70,70,8.8,8.8,,,,,,,,0.257,15.8,126,126,2.46,2.46,35.9,35.9,46.6,46.6,,,,212,20.7,,,,,,,,,,,,,,,51.6,4.95
,80x80x3 SHS,,R,UK,Steel,-,7.18,80,80,3,3,,,,,,,,0.312,43.4,89.8,89.8,3.13,3.13,22.5,22.5,26.3,26.3,,,,140,9.14,,,,,,,,,,,,,,,33,23.7
,80x80x3.2 SHS,,R,UK,Steel,-,7.63,80,80,3.2,3.2,,,,,,,,0.312,40.9,95,95,3.13,3.13,23.7,23.7,27.9,27.9,,,,148,9.72,,,,,,,,,,,,,,,34.9,22
,80x80x3.6 SHS,,R,UK,Steel,-,8.53,80,80,3.6,3.6,,,,,,,,0.311,36.4,105,105,3.11,3.11,26.2,26.2,31,31,,,,164,10.9,,,,,,,,,,,,,,,38.5,19.2
,80x80x4 SHS,,R,UK,Steel,-,9.41,80,80,4,4,,,,,,,,0.31,32.9,114,114,3.09,3.09,28.6,28.6,34,34,,,,180,12,,,,,,,,,,,,,,,41.9,17
,80x80x5 SHS,,R,UK,Steel,-,11.6,80,80,5,5,,,,,,,,0.307,26.6,137,137,3.05,3.05,34.2,34.2,41.1,41.1,,,,217,14.7,,,,,,,,,,,,,,,49.8,13
,80x80x6.3 SHS,,R,UK,Steel,-,14.2,80,80,6.3,6.3,,,,,,,,0.304,21.3,162,162,2.99,2.99,40.5,40.5,49.7,49.7,,,,262,18.1,,,,,,,,,,,,,,,58.7,9.7
,80x80x7.1 SHS,,R,UK,Steel,-,15.8,80,80,7.1,7.1,,,,,,,,0.302,19.1,176,176,2.95,2.95,43.9,43.9,54.5,54.5,,,,286,20.2,,,,,,,,,,,,,,,63.5,8.27
,80x80x8 SHS,,R,UK,Steel,-,17.5,80,80,8,8,,,,,,,,0.299,17,189,189,2.91,2.91,47.3,47.3,59.5,59.5,,,,312,22.4,,,,,,,,,,,,,,,68.3,7
,80x80x8.8 SHS,,R,UK,Steel,-,19,80,80,8.8,8.8,,,,,,,,0.297,15.6,200,200,2.87,2.87,50,50,63.7,63.7,,,,332,24.2,,,,,,,,,,,,,,,72,6.09
,80x80x10 SHS,,R,UK,Steel,-,21.1,80,80,10,10,,,,,,,,0.294,13.9,214,214,2.82,2.82,53.5,53.5,69.3,69.3,,,,360,26.9,,,,,,,,,,,,,,,76.8,5
,80x80x12.5 SHS,,R,UK,Steel,-,25.2,80,80,12.5,12.5,,,,,,,,0.288,11.4,234,234,2.7,2.7,58.6,58.6,78.9,78.9,,,,404,32.1,,,,,,,,,,,,,,,83.8,3.4
,90x90x3.6 SHS,,R,UK,Steel,-,9.66,90,90,3.6,3.6,,,,,,,,0.351,36.5,152,152,3.52,3.52,33.8,33.8,39.7,39.7,,,,237,12.3,,,,,,,,,,,,,,,49.7,22
,90x90x4 SHS,,R,UK,Steel,-,10.7,90,90,4,4,,,,,,,,0.35,32.8,166,166,3.5,3.5,37,37,43.6,43.6,,,,260,13.6,,,,,,,,,,,,,,,54.2,19.5
,90x90x5 SHS,,R,UK,Steel,-,13.1,90,90,5,5,,,,,,,,0.347,26.4,200,200,3.45,3.45,44.4,44.4,53,53,,,,316,16.7,,,,,,,,,,,,,,,64.8,15
,90x90x6.3 SHS,,R,UK,Steel,-,16.2,90,90,6.3,6.3,,,,,,,,0.344,21.2,238,238,3.4,3.4,53,53,64.3,64.3,,,,382,20.7,,,,,,,,,,,,,,,77,11.3
,90x90x7.1 SHS,,R,UK,Steel,-,18.1,90,90,7.1,7.1,,,,,,,,0.342,18.9,260,260,3.36,3.36,57.7,57.7,70.8,70.8,,,,419,23,,,,,,,,,,,,,,,83.7,9.68
,90x90x8 SHS,,R,UK,Steel,-,20.1,90,90,8,8,,,,,,,,0.339,16.9,281,281,3.32,3.32,62.6,62.6,77.6,77.6,,,,459,25.6,,,,,,,,,,,,,,,90.5,8.25
,90x90x8.8 SHS,,R,UK,Steel,-,21.8,90,90,8.8,8.8,,,,,,,,0.337,15.5,299,299,3.28,3.28,66.5,66.5,83.4,83.4,,,,492,27.8,,,,,,,,,,,,,,,96,7.23
,90x90x10 SHS,,R,UK,Steel,-,24.3,90,90,10,10,,,,,,,,0.334,13.8,322,322,3.23,3.23,71.6,71.6,91.3,91.3,,,,536,30.9,,,,,,,,,,,,,,,103,6
,90x90x12.5 SHS,,R,UK,Steel,-,29.1,90,90,12.5,12.5,,,,,,,,0.328,11.3,359,359,3.11,3.11,79.8,79.8,105,105,,,,612,37.1,,,,,,,,,,,,,,,114,4.2
,100x100x3.6 SHS,,R,UK,Steel,-,10.8,100,100,3.6,3.6,,,,,,,,0.391,36.2,212,212,3.92,3.92,42.3,42.3,49.5,49.5,,,,328,13.7,,,,,,,,,,,,,,,62.3,24.8
,100x100x4 SHS,,R,UK,Steel,-,11.9,100,100,4,4,,,,,,,,0.39,32.7,232,232,3.91,3.91,46.4,46.4,54.4,54.4,,,,361,15.2,,,,,,,,,,,,,,,68.2,22
,100x100x5 SHS,,R,UK,Steel,-,14.7,100,100,5,5,,,,,,,,0.387,26.3,279,279,3.86,3.86,55.9,55.9,66.4,66.4,,,,439,18.7,,,,,,,,,,,,,,,81.8,17
,100x100x6.3 SHS,,R,UK,Steel,-,18.2,100,100,6.3,6.3,,,,,,,,0.384,21.1,336,336,3.8,3.8,67.1,67.1,80.9,80.9,,,,534,23.2,,,,,,,,,,,,,,,97.8,12.9
,100x100x7.1 SHS,,R,UK,Steel,-,20.3,100,100,7.1,7.1,,,,,,,,0.382,18.8,367,367,3.77,3.77,73.4,73.4,89.2,89.2,,,,589,25.8,,,,,,,,,,,,,,,107,11.1
,100x100x8 SHS,,R,UK,Steel,-,22.6,100,100,8,8,,,,,,,,0.379,16.8,400,400,3.73,3.73,79.9,79.9,98.2,98.2,,,,646,28.8,,,,,,,,,,,,,,,116,9.5
,100x100x8.8 SHS,,R,UK,Steel,-,24.5,100,100,8.8,8.8,,,,,,,,0.377,15.3,426,426,3.69,3.69,85.2,85.2,106,106,,,,694,31.3,,,,,,,,,,,,,,,123,8.36
,100x100x10 SHS,,R,UK,Steel,-,27.4,100,100,10,10,,,,,,,,0.374,13.7,462,462,3.64,3.64,92.4,92.4,116,116,,,,761,34.9,,,,,,,,,,,,,,,133,7
,100x100x12.5 SHS,,R,UK,Steel,-,33,100,100,12.5,12.5,,,,,,,,0.368,11.2,522,522,3.52,3.52,104,104,135,135,,,,879,42.1,,,,,,,,,,,,,,,150,5
,120x120x4 SHS,,R,UK,Steel,-,14.4,120,120,4,4,,,,,,,,0.47,32.6,410,410,4.72,4.72,68.4,68.4,79.7,79.7,,,,635,18.4,,,,,,,,,,,,,,,101,27
,120x120x5 SHS,,R,UK,Steel,-,17.8,120,120,5,5,,,,,,,,0.467,26.2,498,498,4.68,4.68,83,83,97.6,97.6,,,,777,22.7,,,,,,,,,,,,,,,122,21
,120x120x6.3 SHS,,R,UK,Steel,-,22.2,120,120,6.3,6.3,,,,,,,,0.464,20.9,603,603,4.62,4.62,100,100,120,120,,,,950,28.2,,,,,,,,,,,,,,,147,16
,120x120x7.1 SHS,,R,UK,Steel,-,24.7,120,120,7.1,7.1,,,,,,,,0.462,18.7,663,663,4.59,4.59,110,110,133,133,,,,1050,31.5,,,,,,,,,,,,,,,161,13.9
,120x120x8 SHS,,R,UK,Steel,-,27.6,120,120,8,8,,,,,,,,0.459,16.6,726,726,4.55,4.55,121,121,146,146,,,,1160,35.2,,,,,,,,,,,,,,,176,12
,120x120x8.8 SHS,,R,UK,Steel,-,30.1,120,120,8.8,8.8,,,,,,,,0.457,15.2,779,779,4.51,4.51,130,130,158,158,,,,1250,38.3,,,,,,,,,,,,,,,189,10.6
,120x120x10 SHS,,R,UK,Steel,-,33.7,120,120,10,10,,,,,,,,0.454,13.5,852,852,4.46,4.46,142,142,175,175,,,,1380,42.9,,,,,,,,,,,,,,,206,9
,120x120x12.5 SHS,,R,UK,Steel,-,40.9,120,120,12.5,12.5,,,,,,,,0.448,11,982,982,4.34,4.34,164,164,207,207,,,,1620,52.1,,,,,,,,,,,,,,,236,6.6
,140x140x5 SHS,,R,UK,Steel,-,21,140,140,5,5,,,,,,,,0.547,26.1,807,807,5.5,5.5,115,115,135,135,,,,1250,26.7,,,,,,,,,,,,,,,170,25
,140x140x6.3 SHS,,R,UK,Steel,-,26.1,140,140,6.3,6.3,,,,,,,,0.544,20.8,984,984,5.44,5.44,141,141,166,166,,,,1540,33.3,,,,,,,,,,,,,,,206,19.2
,140x140x7.1 SHS,,R,UK,Steel,-,29.2,140,140,7.1,7.1,,,,,,,,0.542,18.5,1090,1090,5.4,5.4,155,155,184,184,,,,1710,37.2,,,,,,,,,,,,,,,227,16.7
,140x140x8 SHS,,R,UK,Steel,-,32.6,140,140,8,8,,,,,,,,0.539,16.5,1200,1200,5.36,5.36,171,171,204,204,,,,1890,41.6,,,,,,,,,,,,,,,249,14.5
,140x140x8.8 SHS,,R,UK,Steel,-,35.6,140,140,8.8,8.8,,,,,,,,0.537,15.1,1290,1290,5.33,5.33,184,184,221,221,,,,2050,45.4,,,,,,,,,,,,,,,268,12.9
,140x140x10 SHS,,R,UK,Steel,-,40,140,140,10,10,,,,,,,,0.534,13.4,1420,1420,5.27,5.27,202,202,246,246,,,,2270,50.9,,,,,,,,,,,,,,,294,11
,140x140x12.5 SHS,,R,UK,Steel,-,48.7,140,140,12.5,12.5,,,,,,,,0.528,10.8,1650,1650,5.16,5.16,236,236,293,293,,,,2700,62.1,,,,,,,,,,,,,,,342,8.2
,150x150x5 SHS,,R,UK,Steel,-,22.6,150,150,5,5,,,,,,,,0.587,26,1000,1000,5.9,5.9,134,134,156,156,,,,1550,28.7,,,,,,,,,,,,,,,197,27
,150x150x6.3 SHS,,R,UK,Steel,-,28.1,150,150,6.3,6.3,,,,,,,,0.584,20.8,1220,1220,5.85,5.85,163,163,192,192,,,,1910,35.8,,,,,,,,,,,,,,,240,20.8
,150x150x7.1 SHS,,R,UK,Steel,-,31.4,150,150,7.1,7.1,,,,,,,,0.582,18.5,1350,1350,5.81,5.81,180,180,213,213,,,,2120,40,,,,,,,,,,,,,,,264,18.1
,150x150x8 SHS,,R,UK,Steel,-,35.1,150,150,8,8,,,,,,,,0.579,16.5,1490,1490,5.77,5.77,199,199,237,237,,,,2350,44.8,,,,,,,,,,,,,,,291,15.8
,150x150x8.8 SHS,,R,UK,Steel,-,38.4,150,150,8.8,8.8,,,,,,,,0.577,15.1,1610,1610,5.74,5.74,214,214,257,257,,,,2550,48.9,,,,,,,,,,,,,,,313,14
,150x150x10 SHS,,R,UK,Steel,-,43.1,150,150,10,10,,,,,,,,0.574,13.3,1770,1770,5.68,5.68,236,236,286,286,,,,2830,54.9,,,,,,,,,,,,,,,344,12
,150x150x12.5 SHS,,R,UK,Steel,-,52.7,150,150,12.5,12.5,,,,,,,,0.568,10.8,2080,2080,5.57,5.57,277,277,342,342,,,,3380,67.1,,,,,,,,,,,,,,,402,9
,150x150x14.2 SHS,,R,UK,Steel,-,58.9,150,150,14.2,14.2,,,,,,,,0.563,9.57,2260,2260,5.49,5.49,302,302,377,377,,,,3710,75,,,,,,,,,,,,,,,436,7.56
,150x150x16 SHS,,R,UK,Steel,-,65.2,150,150,16,16,,,,,,,,0.559,8.55,2430,2430,5.41,5.41,324,324,411,411,,,,4030,83,,,,,,,,,,,,,,,467,6.38
,160x160x5 SHS,,R,UK,Steel,-,24.1,160,160,5,5,,,,,,,,0.627,26,1230,1230,6.31,6.31,153,153,178,178,,,,1890,30.7,,,,,,,,,,,,,,,226,29
,160x160x6.3 SHS,,R,UK,Steel,-,30.1,160,160,6.3,6.3,,,,,,,,0.624,20.8,1500,1500,6.26,6.26,187,187,220,220,,,,2330,38.3,,,,,,,,,,,,,,,275,22.4
,160x160x7.1 SHS,,R,UK,Steel,-,33.7,160,160,7.1,7.1,,,,,,,,0.622,18.5,1660,1660,6.22,6.22,207,207,245,245,,,,2600,42.9,,,,,,,,,,,,,,,304,19.5
,160x160x8 SHS,,R,UK,Steel,-,37.6,160,160,8,8,,,,,,,,0.619,16.5,1830,1830,6.18,6.18,229,229,272,272,,,,2880,48,,,,,,,,,,,,,,,335,17
,160x160x8.8 SHS,,R,UK,Steel,-,41.1,160,160,8.8,8.8,,,,,,,,0.617,15,1980,1980,6.14,6.14,247,247,295,295,,,,3130,52.4,,,,,,,,,,,,,,,361,15.2
,160x160x10 SHS,,R,UK,Steel,-,46.3,160,160,10,10,,,,,,,,0.614,13.3,2190,2190,6.09,6.09,273,273,329,329,,,,3480,58.9,,,,,,,,,,,,,,,398,13
,160x160x12.5 SHS,,R,UK,Steel,-,56.6,160,160,12.5,12.5,,,,,,,,0.608,10.8,2580,2580,5.98,5.98,322,322,395,395,,,,4160,72.1,,,,,,,,,,,,,,,467,9.8
,160x160x14.2 SHS,,R,UK,Steel,-,63.3,160,160,14.2,14.2,,,,,,,,0.603,9.53,2810,2810,5.9,5.9,351,351,436,436,,,,4580,80.7,,,,,,,,,,,,,,,508,8.27
,160x160x16 SHS,,R,UK,Steel,-,70.2,160,160,16,16,,,,,,,,0.599,8.51,3030,3030,5.82,5.82,379,379,476,476,,,,4990,89.4,,,,,,,,,,,,,,,546,7
,180x180x5 SHS,,R,UK,Steel,-,27.3,180,180,5,5,,,,,,,,0.707,25.9,1770,1770,7.13,7.13,196,196,227,227,,,,2720,34.7,,,,,,,,,,,,,,,290,33
,180x180x6.3 SHS,,R,UK,Steel,-,34,180,180,6.3,6.3,,,,,,,,0.704,20.7,2170,2170,7.07,7.07,241,241,281,281,,,,3360,43.3,,,,,,,,,,,,,,,355,25.6
,180x180x7.1 SHS,,R,UK,Steel,-,38.1,180,180,7.1,7.1,,,,,,,,0.702,18.4,2400,2400,7.04,7.04,267,267,314,314,,,,3740,48.6,,,,,,,,,,,,,,,393,22.4
,180x180x8 SHS,,R,UK,Steel,-,42.7,180,180,8,8,,,,,,,,0.699,16.4,2660,2660,7,7,296,296,349,349,,,,4160,54.4,,,,,,,,,,,,,,,434,19.5
,180x180x8.8 SHS,,R,UK,Steel,-,46.7,180,180,8.8,8.8,,,,,,,,0.697,14.9,2880,2880,6.96,6.96,320,320,379,379,,,,4520,59.4,,,,,,,,,,,,,,,469,17.5
,180x180x10 SHS,,R,UK,Steel,-,52.5,180,180,10,10,,,,,,,,0.694,13.2,3190,3190,6.91,6.91,355,355,424,424,,,,5050,66.9,,,,,,,,,,,,,,,518,15
,180x180x12.5 SHS,,R,UK,Steel,-,64.4,180,180,12.5,12.5,,,,,,,,0.688,10.7,3790,3790,6.8,6.8,421,421,511,511,,,,6070,82.1,,,,,,,,,,,,,,,613,11.4
,180x180x14.2 SHS,,R,UK,Steel,-,72.2,180,180,14.2,14.2,,,,,,,,0.683,9.43,4150,4150,6.72,6.72,462,462,566,566,,,,6710,92,,,,,,,,,,,,,,,670,9.68
,180x180x16 SHS,,R,UK,Steel,-,80.2,180,180,16,16,,,,,,,,0.679,8.49,4500,4500,6.64,6.64,500,500,621,621,,,,7340,102,,,,,,,,,,,,,,,724,8.25
,200x200x5 SHS,,R,UK,Steel,-,30.4,200,200,5,5,,,,,,,,0.787,25.9,2450,2450,7.95,7.95,245,245,283,283,,,,3760,38.7,,,,,,,,,,,,,,,362,37
,200x200x6.3 SHS,,R,UK,Steel,-,38,200,200,6.3,6.3,,,,,,,,0.784,20.6,3010,3010,7.89,7.89,301,301,350,350,,,,4650,48.4,,,,,,,,,,,,,,,444,28.7
,200x200x7.1 SHS,,R,UK,Steel,-,42.6,200,200,7.1,7.1,,,,,,,,0.782,18.4,3350,3350,7.85,7.85,335,335,391,391,,,,5190,54.2,,,,,,,,,,,,,,,493,25.2
,200x200x8 SHS,,R,UK,Steel,-,47.7,200,200,8,8,,,,,,,,0.779,16.4,3710,3710,7.81,7.81,371,371,436,436,,,,5780,60.8,,,,,,,,,,,,,,,545,22
,200x200x8.8 SHS,,R,UK,Steel,-,52.2,200,200,8.8,8.8,,,,,,,,0.777,14.9,4020,4020,7.78,7.78,402,402,474,474,,,,6290,66.5,,,,,,,,,,,,,,,590,19.7
,200x200x10 SHS,,R,UK,Steel,-,58.8,200,200,10,10,,,,,,,,0.774,13.2,4470,4470,7.72,7.72,447,447,531,531,,,,7030,74.9,,,,,,,,,,,,,,,655,17
,200x200x12.5 SHS,,R,UK,Steel,-,72.3,200,200,12.5,12.5,,,,,,,,0.768,10.6,5340,5340,7.61,7.61,534,534,643,643,,,,8490,92.1,,,,,,,,,,,,,,,778,13
,200x200x14.2 SHS,,R,UK,Steel,-,81.1,200,200,14.2,14.2,,,,,,,,0.763,9.38,5870,5870,7.54,7.54,587,587,714,714,,,,9420,103,,,,,,,,,,,,,,,854,11.1
,200x200x16 SHS,,R,UK,Steel,-,90.3,200,200,16,16,,,,,,,,0.759,8.42,6390,6390,7.46,7.46,639,639,785,785,,,,10300,115,,,,,,,,,,,,,,,927,9.5
,220x220x8 SHS,,R,UK,Steel,-,52.7,220,220,8,8,,,,,,,,0.859,19,5000,5000,8.63,8.63,455,455,532,532,,,,7770,67.2,,,,,,,,,,,,,,,669,24.5
,220x220x10 SHS,,R,UK,Steel,-,65.1,220,220,10,10,,,,,,,,0.854,15.4,6050,6050,8.54,8.54,550,550,650,650,,,,9470,82.9,,,,,,,,,,,,,,,807,19
,220x220x12.5 SHS,,R,UK,Steel,-,80.1,220,220,12.5,12.5,,,,,,,,0.848,10.6,7250,7250,8.43,8.43,659,659,789,789,,,,11500,102,,,,,,,,,,,,,,,963,14.6
,250x250x5 SHS,,R,UK,Steel,-,38.3,250,250,5,5,,,,,,,,0.987,25.8,4860,4860,9.99,9.99,389,389,447,447,,,,7430,48.7,,,,,,,,,,,,,,,577,47
,250x250x6.3 SHS,,R,UK,Steel,-,47.9,250,250,6.3,6.3,,,,,,,,0.984,20.6,6010,6010,9.93,9.93,481,481,556,556,,,,9240,61,,,,,,,,,,,,,,,712,36.7
,250x250x7.1 SHS,,R,UK,Steel,-,53.7,250,250,7.1,7.1,,,,,,,,0.982,18.3,6700,6700,9.9,9.9,536,536,622,622,,,,10300,68.4,,,,,,,,,,,,,,,792,32.2
,250x250x8 SHS,,R,UK,Steel,-,60.3,250,250,8,8,,,,,,,,0.979,16.3,7460,7460,9.86,9.86,596,596,694,694,,,,11500,76.8,,,,,,,,,,,,,,,880,28.3
,250x250x8.8 SHS,,R,UK,Steel,-,66,250,250,8.8,8.8,,,,,,,,0.977,14.9,8110,8110,9.82,9.82,649,649,758,758,,,,12600,84.1,,,,,,,,,,,,,,,955,25.4
,250x250x10 SHS,,R,UK,Steel,-,74.5,250,250,10,10,,,,,,,,0.974,13.1,9060,9060,9.77,9.77,724,724,851,851,,,,14100,94.9,,,,,,,,,,,,,,,1070,22
,250x250x12.5 SHS,,R,UK,Steel,-,91.9,250,250,12.5,12.5,,,,,,,,0.968,10.6,10900,10900,9.66,9.66,873,873,1040,1040,,,,17200,117,,,,,,,,,,,,,,,1280,17
,250x250x14.2 SHS,,R,UK,Steel,-,103,250,250,14.2,14.2,,,,,,,,0.963,9.31,12100,12100,9.58,9.58,967,967,1160,1160,,,,19100,132,,,,,,,,,,,,,,,1410,14.6
,250x250x16 SHS,,R,UK,Steel,-,115,250,250,16,16,,,,,,,,0.959,8.31,13300,13300,9.5,9.5,1060,1060,1280,1280,,,,21100,147,,,,,,,,,,,,,,,1550,12.6
,260x260x6.3 SHS,,R,UK,Steel,-,49.9,260,260,6.3,6.3,,,,,,,,1.02,20.5,6790,6790,10.3,10.3,522,522,603,603,,,,10400,63.5,,,,,,,,,,,,,,,773,38.3
,260x260x7.1 SHS,,R,UK,Steel,-,56,260,260,7.1,7.1,,,,,,,,1.02,18.3,7570,7570,10.3,10.3,582,582,674,674,,,,11600,71.3,,,,,,,,,,,,,,,861,33.6
,260x260x8 SHS,,R,UK,Steel,-,62.8,260,260,8,8,,,,,,,,1.02,16.2,8420,8420,10.3,10.3,648,648,753,753,,,,13000,80,,,,,,,,,,,,,,,956,29.5
,260x260x8.8 SHS,,R,UK,Steel,-,68.8,260,260,8.8,8.8,,,,,,,,1.02,14.8,9160,9160,10.2,10.2,705,705,822,822,,,,14200,87.6,,,,,,,,,,,,,,,1040,26.5
